2.5417,257.14,2.5417,7.5555,2.5417,4.1386,2.5417,455.03,2.5417,22.276,2.5417,0.0081243,2.5417,1.3764,2.5417,1.2511,2.5417,0.42042
2.5833,257.54,2.5833,7.5458,2.5833,4.1327,2.5833,443.79,2.5833,22.412,2.5833,0.0080457,2.5833,1.3731,2.5833,1.2511,2.5833,0.4196
2.625,257.93,2.625,7.5362,2.625,4.127,2.625,432.83,2.625,22.544,2.625,0.0079697,2.625,1.3699,2.625,1.2511,2.625,0.41878
2.6667,258.32,2.6667,7.5267,2.6667,4.1214,2.6667,422.15,2.6667,22.672,2.6667,0.0078962,2.6667,1.3666,2.6667,1.2511,2.6667,0.41798
2.7083,258.71,2.7083,7.5173,2.7083,4.1159,2.7083,411.72,2.7083,22.796,2.7083,0.0078249,2.7083,1.3633,2.7083,1.2511,2.7083,0.4172
2.75,259.1,2.75,7.5079,2.75,4.1105,2.75,401.56,2.75,22.916,2.75,0.0077559,2.75,1.3601,2.75,1.2511,2.75,0.41642
2.7917,259.48,2.7917,7.4986,2.7917,4.1052,2.7917,391.64,2.7917,23.032,2.7917,0.007689,2.7917,1.3569,2.7917,1.2511,2.7917,0.41566
2.8333,259.87,2.8333,7.4894,2.8333,4.0999,2.8333,381.97,2.8333,23.144,2.8333,0.007624,2.8333,1.3536,2.8333,1.2511,2.8333,0.41491
2.875,260.26,2.875,7.4802,2.875,4.0947,2.875,372.54,2.875,23.253,2.875,0.007561,2.875,1.3504,2.875,1.2511,2.875,0.41417
2.9167,260.65,2.9167,7.471,2.9167,4.0895,2.9167,363.34,2.9167,23.359,2.9167,0.0074998,2.9167,1.3472,2.9167,1.2511,2.9167,0.41345
2.9583,261.03,2.9583,7.4619,2.9583,4.0844,2.9583,354.37,2.9583,23.46,2.9583,0.0074404,2.9583,1.344,2.9583,1.2511,2.9583,0.41274
3,261.42,3,7.4528,3,4.0793,3,345.62,3,23.559,3,0.0073826,3,1.3408,3,1.2511,3,0.41204
3.0417,261.81,3.0417,7.4437,3.0417,4.0742,3.0417,337.09,3.0417,23.654,3.0417,0.0073264,3.0417,1.3376,3.0417,1.2511,3.0417,0.41135
3.0833,262.19,3.0833,7.4346,3.0833,4.0692,3.0833,328.77,3.0833,23.746,3.0833,0.0072718,3.0833,1.3345,3.0833,1.2511,3.0833,0.41068
3.125,262.58,3.125,7.4255,3.125,4.0642,3.125,320.65,3.125,23.835,3.125,0.0072186,3.125,1.3313,3.125,1.2511,3.125,0.41002
3.1667,262.96,3.1667,7.4165,3.1667,4.0592,3.1667,312.73,3.1667,23.921,3.1667,0.0071669,3.1667,1.3281,3.1667,1.2511,3.1667,0.40937
3.2083,263.35,3.2083,7.4074,3.2083,4.0542,3.2083,305.01,3.2083,24.004,3.2083,0.0071165,3.2083,1.325,3.2083,1.2511,3.2083,0.40873
3.25,263.74,3.25,7.3984,3.25,4.0492,3.25,297.48,3.25,24.084,3.25,0.0070673,3.25,1.3218,3.25,1.2511,3.25,0.40811
3.2917,264.12,3.2917,7.3894,3.2917,4.0443,3.2917,290.14,3.2917,24.161,3.2917,0.0070194,3.2917,1.3187,3.2917,1.2511,3.2917,0.4075
3.3333,264.51,3.3333,7.3803,3.3333,4.0393,3.3333,282.97,3.3333,24.236,3.3333,0.0069727,3.3333,1.3155,3.3333,1.2511,3.3333,0.4069
3.375,264.89,3.375,7.3713,3.375,4.0344,3.375,275.99,3.375,24.308,3.375,0.0069272,3.375,1.3124,3.375,1.2511,3.375,0.40631
3.4167,265.28,3.4167,7.3623,3.4167,4.0295,3.4167,269.17,3.4167,24.377,3.4167,0.0068827,3.4167,1.3093,3.4167,1.2511,3.4167,0.40573
3.4583,265.67,3.4583,7.3533,3.4583,4.0245,3.4583,262.53,3.4583,24.443,3.4583,0.0068393,3.4583,1.3062,3.4583,1.2511,3.4583,0.40517
3.5,266.05,3.5,7.3443,3.5,4.0196,3.5,256.04,3.5,24.508,3.5,0.006797,3.5,1.3031,3.5,1.2511,3.5,0.40461
3.5417,266.44,3.5417,7.3352,3.5417,4.0147,3.5417,249.72,3.5417,24.569,3.5417,0.0067555,3.5417,1.3,3.5417,1.2511,3.5417,0.40407
3.5833,266.82,3.5833,7.3262,3.5833,4.0098,3.5833,243.56,3.5833,24.629,3.5833,0.0067151,3.5833,1.2969,3.5833,1.2511,3.5833,0.40354
3.625,267.21,3.625,7.3172,3.625,4.0048,3.625,237.54,3.625,24.686,3.625,0.0066755,3.625,1.2938,3.625,1.2511,3.625,0.40301
3.6667,267.6,3.6667,7.3082,3.6667,3.9999,3.6667,231.68,3.6667,24.741,3.6667,0.0066368,3.6667,1.2907,3.6667,1.2511,3.6667,0.4025
3.7083,267.98,3.7083,7.2991,3.7083,3.995,3.7083,225.96,3.7083,24.793,3.7083,0.006599,3.7083,1.2877,3.7083,1.2511,3.7083,0.402
3.75,268.37,3.75,7.2901,3.75,3.9901,3.75,220.38,3.75,24.844,3.75,0.0065619,3.75,1.2846,3.75,1.2511,3.75,0.40151
3.7917,268.76,3.7917,7.281,3.7917,3.9852,3.7917,214.94,3.7917,24.893,3.7917,0.0065257,3.7917,1.2815,3.7917,1.2511,3.7917,0.40103
3.8333,269.15,3.8333,7.272,3.8333,3.9802,3.8333,209.63,3.8333,24.939,3.8333,0.0064902,3.8333,1.2785,3.8333,1.2511,3.8333,0.40056
3.875,269.53,3.875,7.263,3.875,3.9753,3.875,204.46,3.875,24.984,3.875,0.0064554,3.875,1.2755,3.875,1.2511,3.875,0.4001
3.9167,269.92,3.9167,7.2539,3.9167,3.9704,3.9167,199.41,3.9167,25.026,3.9167,0.0064213,3.9167,1.2724,3.9167,1.2511,3.9167,0.39965
3.9583,270.31,3.9583,7.2449,3.9583,3.9655,3.9583,194.48,3.9583,25.067,3.9583,0.0063879,3.9583,1.2694,3.9583,1.2511,3.9583,0.39921
